batting_team,over,weight
Rajasthan Royals,0,0.8294241229458659
Rajasthan Royals,1,0.8599303536996
Rajasthan Royals,2,1.0257000604368722
Rajasthan Royals,3,1.1293061271476674
Rajasthan Royals,4,1.0233977033988546
Rajasthan Royals,5,1.0182174000633148
Rajasthan Royals,6,0.8910121737128385
Rajasthan Royals,7,0.946844331884767
Rajasthan Royals,8,0.9681411344864305
Rajasthan Royals,9,0.9888623478285895
Rajasthan Royals,10,0.9761993841194923
Rajasthan Royals,11,1.0015253115376868
Rajasthan Royals,12,1.0118859182087663
Rajasthan Royals,13,1.0233977033988546
Rajasthan Royals,14,1.0492992200765534
Rajasthan Royals,15,1.0659913086021815
Rajasthan Royals,16,1.1131896278815436
Rajasthan Royals,17,1.093044003798889
Rajasthan Royals,18,1.0285780067343944
Rajasthan Royals,19,0.9560537600368377
Rising Pune Supergiants,0,0.7191705272446504
Rising Pune Supergiants,1,0.8824178248400617
Rising Pune Supergiants,2,1.1030222810500772
Rising Pune Supergiants,3,1.0853739245532759
Rising Pune Supergiants,4,1.1559673505404808
Rising Pune Supergiants,5,1.3324509155084931
Rising Pune Supergiants,6,0.8735936465916612
Rising Pune Supergiants,7,0.8868299139642621
Rising Pune Supergiants,8,0.8956540922126627
Rising Pune Supergiants,9,0.944187072578866
Rising Pune Supergiants,10,0.9618354290756672
Rising Pune Supergiants,11,0.9662475181998676
Rising Pune Supergiants,12,0.9794837855724686
Rising Pune Supergiants,13,0.8735936465916612
Rising Pune Supergiants,14,0.9971321420692698
Rising Pune Supergiants,15,0.9397749834546658
Rising Pune Supergiants,16,0.9927200529450695
Rising Pune Supergiants,17,0.9927200529450695
Rising Pune Supergiants,18,1.1780277961614825
Rising Pune Supergiants,19,1.2397970439002868
Royal Challengers Bengaluru,0,0.7995667372359805
Royal Challengers Bengaluru,1,0.9226527497415193
Royal Challengers Bengaluru,2,1.0230909359460392
Royal Challengers Bengaluru,3,1.0531239229973905
Royal Challengers Bengaluru,4,1.0024124858451087
Royal Challengers Bengaluru,5,1.0063512382452857
Royal Challengers Bengaluru,6,0.801043769386047
Royal Challengers Bengaluru,7,0.9453005760425386
Royal Challengers Bengaluru,8,0.9492393284427157
Royal Challengers Bengaluru,9,0.9615479296932696
Royal Challengers Bengaluru,10,0.9704101225936684
Royal Challengers Bengaluru,11,0.9472699522426271
Royal Challengers Bengaluru,12,0.9718871547437349
Royal Challengers Bengaluru,13,1.038845945546748
Royal Challengers Bengaluru,14,1.028999064546305
Royal Challengers Bengaluru,15,1.1333760031510018
Royal Challengers Bengaluru,16,1.104820048249717
Royal Challengers Bengaluru,17,1.1722711831027521
Royal Challengers Bengaluru,18,1.1156516173502042
Royal Challengers Bengaluru,19,1.0521392348973464
Sunrisers Hyderabad,0,0.7725912421313336
Sunrisers Hyderabad,1,1.0099411784940318
Sunrisers Hyderabad,2,1.0801142031577862
Sunrisers Hyderabad,3,1.0243885659248049
Sunrisers Hyderabad,4,1.1310240445805098
Sunrisers Hyderabad,5,1.1303360737504728
Sunrisers Hyderabad,6,0.8482680334353823
Sunrisers Hyderabad,7,0.8785387499570019
Sunrisers Hyderabad,8,0.9438959788104985
Sunrisers Hyderabad,9,0.9156891747789895
Sunrisers Hyderabad,10,0.9253207663995047
Sunrisers Hyderabad,11,0.9514636579409033
Sunrisers Hyderabad,12,0.9370162705101304
Sunrisers Hyderabad,13,1.0360840700354306
Sunrisers Hyderabad,14,1.137215782050841
Sunrisers Hyderabad,15,0.9872381411028173
Sunrisers Hyderabad,16,1.0181968284544736
Sunrisers Hyderabad,17,1.0931856489284855
Sunrisers Hyderabad,18,1.176430119362939
Sunrisers Hyderabad,19,1.0030614701936638
